,gain,neutral,loss
ABCD4,32,43,33
ABCE1,6,41,61
ABCF1,33,53,22
ABCF2,34,56,18
ABCF3,98,9,1
ABCG1,5,55,48
ABCG2,6,47,55
ABCG4,21,58,29
ABCG5,68,39,1
ABCG8,68,39,1
ABHD1,67,40,1
ABHD10,62,35,11
ABHD11,46,51,11
ABHD11-AS1,46,51,11
ABHD12,55,42,11
ABHD12B,32,43,33
ABHD13,17,37,54
ABHD14A,3,16,89
ABHD14A-ACY1,3,16,89
ABHD14B,3,16,89
ABHD15,46,42,20
ABHD16A,32,53,23
ABHD16B,57,39,12
ABHD17A,26,51,31
ABHD17B,18,36,54
ABHD17C,28,58,22
ABHD18,5,44,59
ABHD2,31,58,19
ABHD3,39,48,21
ABHD4,36,39,33
ABHD5,5,19,84
ABHD6,3,14,91
ABHD8,26,48,34
ABI1,30,48,30
ABI2,36,58,14
ABI3,48,54,6
ABI3BP,66,31,11
ABL1,18,38,52
ABL2,56,45,7
ABLIM1,12,56,40
ABLIM2,9,35,64
ABLIM3,6,28,74
ABO,17,38,53
ABR,19,24,65
ABRA,71,34,3
ABRACL,18,58,32
ABT1,34,55,19
ABTB1,69,33,6
ABTB2,23,59,26
ACAA1,5,20,83
ACAA2,19,44,45
ACACA,43,50,15
ACACB,28,68,12
ACAD10,29,67,12
ACAD11,74,29,5
ACAD8,21,50,37
ACAD9,69,34,5
ACADL,26,60,22
ACADM,6,57,45
ACADS,27,67,14
ACADSB,12,58,38
ACADVL,14,29,65
ACAN,31,58,19
ACAP1,15,27,66
ACAP2,97,11,0
ACAP3,37,36,35
ACAT1,19,58,31
ACAT2,16,60,32
ACBD3,53,45,10
ACBD4,46,53,9
ACBD5,30,48,30
ACBD6,58,43,7
ACBD7,26,50,32
ACCS,22,62,24
ACCSL,22,62,24
ACD,23,49,36
ACE,57,45,6
ACE2,4,15,89
ACER1,19,49,40
ACER2,10,24,74
ACER3,31,60,17
ACHE,51,50,7
ACIN1,33,41,34
ACKR1,58,47,3
ACKR2,5,20,83
ACKR3,19,61,28
ACKR4,73,30,5
ACLY,44,51,13
ACMSD,34,67,7
ACO1,25,24,59
ACO2,46,44,18
ACOD1,7,40,61
ACOT1,29,45,34
ACOT11,7,65,36
ACOT12,5,23,80
ACOT13,38,53,17
ACOT2,29,45,34
ACOT4,29,45,34
ACOT6,29,45,34
ACOT7,14,51,43
ACOT8,51,45,12
ACOT9,4,14,90
ACOX1,60,44,4
ACOX2,4,13,91
ACOX3,9,35,64
ACOXL,45,59,4
ACP1,53,50,5
ACP2,23,62,23
ACP5,19,51,38
ACP6,55,27,26
ACP7,58,37,13
ACPP,73,30,5
ACPT,34,47,27
ACR,47,42,19
ACRBP,61,40,7
ACRC,5,19,84
ACRV1,19,61,28
ACSBG1,27,58,23
ACSBG2,19,49,40
ACSF2,49,53,6
ACSF3,29,32,47
ACSL1,3,36,69
ACSL3,18,62,28
ACSL4,8,14,86
ACSL5,12,56,40
ACSL6,6,29,73
ACSM1,24,60,24
ACSM2A,23,61,24
ACSM2B,23,61,24
ACSM3,24,60,24
ACSM4,59,43,6
ACSM5,22,62,24
ACSM6,6,56,46
ACSS1,55,42,11
ACSS2,64,40,4
ACSS3,29,66,13
ACTA1,51,47,10
ACTA2,5,54,49
ACTA2-AS1,5,54,49
ACTB,56,38,14
ACTBL2,6,25,77
ACTC1,19,58,31
ACTG1,65,36,7
ACTG1P17,28,58,22
ACTG1P20,10,57,41
ACTG1P4,4,44,60
ACTG2,63,41,4
ACTL10,70,35,3
ACTL6A,100,8,0
ACTL6B,51,51,6
ACTL7A,19,36,53
ACTL7B,19,36,53
ACTL8,12,55,41
ACTL9,18,49,41
ACTN1,25,42,41
ACTN1-AS1,25,42,41
ACTN2,52,46,10
ACTN3,35,62,11
ACTN4,57,38,13
ACTR10,31,43,34
ACTR1A,6,55,47
ACTR1B,54,53,1
ACTR2,66,41,1
ACTR3,43,62,3
ACTR3B,31,57,20
ACTR3BP2,68,36,4
ACTR3BP5,27,51,30
ACTR3C,36,56,16
ACTR5,53,45,10
ACTR6,27,68,13
ACTR8,3,15,90
ACTRT1,7,16,85
ACTRT2,37,36,35
ACTRT3,100,8,0
ACVR1,32,67,9
ACVR1B,38,61,9
ACVR1C,32,67,9
ACVR2A,34,65,9
ACVR2B,5,20,83
ACVR2B-AS1,5,20,83
ACVRL1,38,61,9
ACY1,3,16,89
ACY3,38,57,13
ACYP1,29,45,34
ACYP2,71,36,1
ADA,52,45,11
ADAD1,4,47,57
ADAD2,19,42,47
ADAL,17,60,31
ADAM10,20,61,27
ADAM11,45,54,9
ADAM12,12,57,39
ADAM15,58,47,3
ADAM17,60,45,3
ADAM18,58,20,30
ADAM19,5,30,73
ADAM1A,29,66,13
ADAM2,56,24,28
ADAM20,27,45,36
ADAM20P1,27,45,36
ADAM21,27,45,36
ADAM21P1,27,45,36
ADAM22,54,50,4
ADAM23,33,60,15
ADAM28,11,22,75
ADAM29,3,38,67
ADAM30,20,47,41
ADAM32,61,23,24
ADAM33,52,48,8
ADAM3A,59,21,28
ADAM5,59,21,28
ADAM6,41,29,38
ADAM7,10,23,75
ADAM8,19,53,36
ADAM9,61,23,24
ADAMDEC1,11,22,75
ADAMTS1,10,58,40
ADAMTS10,18,48,42
ADAMTS12,87,20,1
ADAMTS13,17,38,53
ADAMTS14,10,52,46
ADAMTS15,20,58,30
ADAMTS16,92,15,1
ADAMTS17,35,54,19
ADAMTS18,23,42,43
ADAMTS19,6,28,74
ADAMTS19-AS1,5,29,74
ADAMTS2,6,29,73
ADAMTS20,40,60,8
ADAMTS3,15,45,48
ADAMTS4,59,45,4
ADAMTS5,10,58,40
ADAMTS6,6,23,79
ADAMTS7,28,57,23
ADAMTS7P1,28,58,22
ADAMTS8,20,58,30
ADAMTS9,1,15,92
ADAMTS9-AS1,1,15,92
ADAMTS9-AS2,1,15,92
ADAMTSL1,14,22,72
ADAMTSL2,17,39,52
ADAMTSL3,30,56,22
ADAMTSL4,60,45,3
ADAMTSL4-AS1,60,45,3
ADAMTSL5,27,50,31
ADAP1,66,28,14
ADAP2,44,45,19
ADAR,58,47,3
ADARB1,5,55,48
ADARB2,27,46,35
ADARB2-AS1,26,47,35
ADAT1,25,44,39
ADAT2,17,60,31
ADAT3,26,50,32
ADCK1,30,43,35
ADCK2,41,52,15
ADCK5,71,28,9
ADCY1,50,39,19
ADCY10,57,46,5
ADCY10P1,39,52,17
ADCY2,92,15,1
ADCY3,66,40,2
ADCY4,32,41,35
ADCY5,68,35,5
ADCY6,42,59,7
ADCY7,17,53,38
ADCY8,80,22,6
ADCY9,20,64,24
ADCYAP1,40,49,19
ADCYAP1R1,52,40,16
ADD1,8,38,62
ADD2,65,40,3
ADD3,10,55,43
ADD3-AS1,11,54,43
ADGB,16,60,32
ADGRA1,20,52,36
ADGRA1-AS1,20,52,36
ADGRA2,50,27,31
ADGRA3,6,39,63
ADGRB1,78,26,4
ADGRB2,13,61,34
ADGRB3,28,60,20
ADGRD1,26,66,16
ADGRE1,18,49,41
ADGRE2,23,49,36
ADGRE3,23,49,36
ADGRE4P,18,49,41
ADGRE5,24,47,37
ADGRF1,38,54,16
ADGRF2,38,54,16
ADGRF3,67,40,1
ADGRF4,38,54,16
ADGRF5,39,54,15
ADGRG1,19,52,37
ADGRG2,4,15,89
ADGRG3,19,52,37
ADGRG4,7,17,84
ADGRG5,19,52,37
ADGRG6,18,58,32
ADGRG7,65,32,11
ADGRL1,22,48,38
ADGRL2,5,57,46
ADGRL3,13,43,52
ADGRL3-AS1,13,46,49
ADGRL4,4,58,46
ADGRV1,3,25,80
ADH1A,5,44,59
ADH1B,5,44,59
ADH1C,5,44,59
ADH4,5,44,59
ADH5,5,44,59
ADH6,5,44,59
ADH7,5,44,59
ADHFE1,56,39,13
ADI1,53,51,4
ADIG,53,45,10
ADIPOQ,97,10,1
ADIPOQ-AS1,97,10,1
ADIPOR1,53,50,5
ADIPOR2,59,42,7
ADIRF,5,52,51
ADK,12,51,45
ADM,16,55,37
ADM2,47,42,19
ADM5,36,46,26
ADNP,51,47,10
ADNP-AS1,51,47,10
ADNP2,20,38,50
ADO,12,52,44
ADORA1,54,49,5
ADORA2A,55,43,10
ADORA2A-AS1,55,43,10
ADORA2B,16,29,63
ADORA3,5,44,59
ADPGK,23,62,23
ADPGK-AS1,23,62,23
ADPRH,67,35,6
ADPRHL1,16,36,56
ADPRHL2,15,63,30
ADPRM,14,27,67
ADRA1A,9,24,75
ADRA1B,5,30,73
ADRA1D,52,49,7
ADRA2A,10,57,41
ADRA2B,54,53,1
ADRA2C,9,35,64
ADRB1,12,56,40
ADRB2,5,29,74
ADRB3,52,26,30
ADRM1,60,37,11
ADSL,49,46,13
ADSS,53,47,8
ADSSL1,36,40,32
ADTRP,35,56,17
AEBP1,50,39,19
AEBP2,66,39,3
AEN,31,57,20
AES,15,54,39
AFAP1,9,36,63
AFAP1-AS1,9,36,63
AFAP1L1,6,28,74
AFAP1L2,12,56,40
AFDN,19,61,28
AFDN-AS1,19,61,28
AFF1,7,45,56
AFF2,10,15,83
AFF3,48,59,1
AFF4,6,29,73
AFG3L1P,26,39,43
AFG3L2,33,52,23
AFM,15,45,48
AFMID,58,42,8
AFP,15,45,48
AFTPH,66,42,0
AGA,4,37,67
AGAP1,20,58,30
AGAP1-IT1,19,61,28
AGAP11,5,52,51
AGAP12P,18,49,41
AGAP2,40,59,9
AGAP2-AS1,40,59,9
AGAP3,42,47,19
AGAP4,19,51,38
AGAP5,12,52,44
AGAP6,19,49,40
AGAP7P,20,48,40
AGAP9,18,49,41
AGBL1,31,57,20
AGBL1-AS1,30,59,19
AGBL2,23,63,22
AGBL3,40,53,15
AGBL4,9,66,33
AGBL4-IT1,9,66,33
AGBL5,67,40,1
AGBL5-AS1,67,40,1
AGER,32,53,23
AGFG1,17,60,31
AGFG2,51,51,6
AGGF1,3,24,81
AGK,40,53,15
AGL,5,50,53
AGMAT,13,53,42
AGMO,55,38,15
AGO1,14,64,30
AGO2,78,25,5
AGO3,15,63,30
AGO4,14,64,30
AGPAT1,32,53,23
AGPAT2,32,36,40
AGPAT3,7,52,49
AGPAT4,17,60,31
AGPAT4-IT1,16,61,31
AGPAT5,10,24,74
AGPS,46,56,6
AGR2,57,36,15
AGR3,57,36,15
AGRN,37,36,35
AGRP,23,49,36
AGT,51,47,10
AGTPBP1,20,35,53
AGTR1,89,17,2
AGTR2,6,16,86
AGTRAP,13,54,41
AGXT,20,63,25
AGXT2,91,17,0
AHCTF1,52,47,9
AHCTF1P1,33,66,9
AHCY,68,36,4
AHCYL1,5,44,59
AHCYL2,39,55,14
AHDC1,12,55,41
AHI1,19,58,31
AHNAK,28,67,13
AHNAK2,35,39,34
AHR,57,36,15
AHRR,91,15,2
AHSA1,30,44,34
AHSA2,70,38,0
AHSG,98,9,1
AHSP,27,62,19
AICDA,59,43,6
AIDA,51,47,10
AIF1,32,53,23
AIF1L,18,39,51
AIFM1,8,16,84
AIFM2,10,52,46
AIFM3,58,39,11
AIG1,17,60,31
AIM1,18,60,30
AIM1L,10,56,42
AIM2,58,47,3
AIMP1,3,48,57
AIMP2,55,38,15
AIP,36,59,13
AIPL1,13,30,65
AIRE,12,48,48
AIRN,16,61,31
AJAP1,13,53,42
AJUBA,33,41,34
AK1,18,38,52
AK2,15,62,31
AK3,17,19,72
AK4,6,60,42
AK5,5,58,45
AK6,6,22,80
AK7,32,43,33
AK8,18,38,52
AK9,18,60,30
AKAIN1,34,55,19
AKAP1,48,51,9
AKAP10,20,27,61
AKAP11,8,28,72
AKAP12,17,59,32
AKAP13,30,57,21
AKAP14,7,16,85
AKAP17A|chrX,8,11,89
AKAP17A|chrY,1,6,101
AKAP2,19,36,53
AKAP3,59,42,7
AKAP4,3,17,88
AKAP5,28,43,37
AKAP6,35,37,36
AKAP7,21,57,30
AKAP8,24,48,36
AKAP8L,24,48,36
AKAP9,55,49,4
AKIP1,16,53,39
AKIRIN1,15,65,28
AKIRIN2,20,63,25
AKNA,18,35,55
AKNAD1,4,46,58
AKR1A1,13,67,28
AKR1B1,39,54,15
AKR1B10,40,53,15
AKR1B15,40,53,15
AKR1C1,30,46,32
AKR1C2,31,45,32
AKR1C3,32,45,31
AKR1C4,31,46,31
AKR1C6P,30,46,32
AKR1C8P,31,46,31
AKR1D1,38,55,15
AKR1E2,30,46,32
AKR7A2,11,55,42
AKR7A2P1,5,44,59
AKR7A3,11,55,42
AKR7L,11,55,42
AKT1,36,40,32
AKT1S1,36,46,26
AKT2,56,38,14
AKT3,52,47,9
AKTIP,19,53,36
ALAD,18,35,55
ALAS1,3,15,90
ALAS2,4,16,88
ALB,15,45,48
ALCAM,63,32,13
ALDH16A1,35,48,25
ALDH18A1,6,55,47
ALDH1A1,19,36,53
ALDH1A2,20,60,28
ALDH1A3,33,58,17
ALDH1B1,25,22,61
ALDH1L1,68,33,7
ALDH1L1-AS1,68,33,7
ALDH1L1-AS2,68,33,7
ALDH1L2,31,65,12
ALDH2,29,67,12
ALDH3A1,19,27,62
ALDH3A2,19,27,62
ALDH3B1,38,57,13
ALDH3B2,38,57,13
ALDH4A1,11,55,42
ALDH5A1,37,55,16
ALDH6A1,30,44,34
ALDH7A1,6,28,74
ALDH8A1,22,55,31
ALDH9A1,57,45,6
ALDOA,30,60,18
ALDOB,20,35,53
ALDOC,47,41,20
ALG1,22,63,23
ALG10,64,37,7
ALG10B,64,37,7
ALG11,5,31,72
ALG12,47,42,19
ALG13,5,14,89
ALG14,3,55,50
ALG1L,69,34,5
ALG1L2,73,30,5
ALG1L9P,38,56,14
ALG2,20,35,53
ALG3,98,9,1
ALG5,9,29,70
ALG6,7,63,38
ALG8,30,58,20
ALG9,22,56,30
ALK,68,40,0
ALKBH1,30,44,34
ALKBH2,28,68,12
ALKBH3,22,62,24
ALKBH3-AS1,22,62,24
ALKBH4,55,47,6
ALKBH5,18,28,62
ALKBH6,60,40,8
ALKBH7,19,49,40
ALKBH8,19,59,30
ALLC,53,51,4
ALMS1,63,41,4
ALMS1-IT1,63,41,4
ALMS1P1,63,41,4
ALOX12,14,29,65
ALOX12-AS1,14,29,65
ALOX12B,13,29,66
ALOX12P2,14,29,65
ALOX15,13,29,66
ALOX15B,13,29,66
ALOX15P1,13,30,65
ALOX5,19,51,38
ALOX5AP,9,33,66
ALOXE3,13,29,66
ALPI,17,61,30
ALPK1,4,46,58
ALPK2,21,42,45
ALPK3,30,56,22
ALPL,12,55,41
ALPP,17,61,30
ALPPL2,17,61,30
ALS2,35,61,12
ALS2CL,2,18,88
ALS2CR11,35,61,12
ALS2CR12,35,61,12
ALX1,29,66,13
ALX3,5,44,59
ALX4,23,61,24
ALYREF,70,29,9
AMACR,90,17,1
AMBN,14,45,49
AMBP,18,35,55
AMBRA1,24,61,23
AMD1,17,60,31
AMDHD1,30,67,11
AMDHD2,33,53,22
AMELX,5,15,88
AMELY,1,5,102
AMER1,5,19,84
AMER2,8,35,65
AMER3,35,67,6
AMFR,19,52,37
AMH,30,47,31
AMHR2,38,61,9
AMIGO1,5,44,59
AMIGO2,42,59,7
AMIGO3,2,16,90
AMMECR1,7,14,87
AMMECR1L,36,68,4
AMN,35,37,36
AMN1,62,42,4
AMOT,6,14,88
AMOTL1,23,60,25
AMOTL2,75,28,5
AMPD1,5,43,60
AMPD2,5,44,59
AMPD3,16,55,37
AMPH,51,38,19
AMT,2,16,90
AMTN,15,44,49
AMY1A,4,44,60
AMY1B,4,44,60
AMY1C,4,44,60
AMY2A,4,44,60
AMY2B,4,44,60
AMZ1,56,38,14
AMZ2,59,45,4
AMZ2P1,57,47,4
ANAPC1,44,60,4
ANAPC10,6,41,61
ANAPC11,71,28,9
ANAPC13,75,28,5
ANAPC15,38,56,14
ANAPC16,11,52,45
ANAPC1P1,63,38,7
ANAPC2,32,37,39
ANAPC4,7,38,63
ANAPC5,26,67,15
ANAPC7,29,67,12
ANG,36,41,31
ANGEL1,29,45,34
ANGEL2,50,50,8
ANGPT1,71,34,3
ANGPT2,10,24,74
ANGPT4,51,46,11
ANGPTL1,57,44,7
ANGPTL2,18,38,52
ANGPTL3,7,63,38
ANGPTL4,18,48,42
ANGPTL5,21,59,28
ANGPTL6,19,50,39
ANGPTL7,11,54,43
ANGPTL8,19,50,39
ANHX,33,58,17
ANK1,53,33,22
ANK2,3,47,58
ANK3,13,51,44
ANKAR,39,60,9
ANKDD1A,23,61,24
ANKDD1B,4,23,81
ANKEF1,54,46,8
ANKFN1,50,49,9
ANKFY1,13,29,66
ANKH,91,15,2
ANKHD1,7,30,71
ANKHD1-EIF4EBP3,7,30,71
ANKIB1,55,49,4
ANKK1,21,57,30
ANKLE1,26,48,34
ANKLE2,32,58,18
ANKMY1,20,61,27
ANKMY2,56,36,16
ANKRA2,7,22,79
ANKRD1,5,54,49
ANKRD10,17,37,54
ANKRD11,26,39,43
ANKRD12,29,54,25
ANKRD13A,29,67,12
ANKRD13B,46,42,20
ANKRD13C,5,60,43
ANKRD13D,38,59,11
ANKRD16,30,46,32
ANKRD17,15,45,48
ANKRD18A,24,22,62
ANKRD18B,31,24,53
ANKRD18CP,20,34,54
ANKRD18DP,96,12,0
ANKRD19P,19,35,54
ANKRD2,6,54,48
ANKRD20A1,27,13,68
ANKRD20A11P,22,18,68
ANKRD20A19P,9,34,65
ANKRD20A2,27,13,68
ANKRD20A3,27,13,68
ANKRD20A4,27,13,68
ANKRD20A5P,31,55,22
ANKRD20A8P,50,56,2
ANKRD20A9P,9,36,63
ANKRD22,5,54,49
ANKRD23,54,53,1
ANKRD24,16,51,41
ANKRD26,30,48,30
ANKRD26P1,28,37,43
ANKRD26P3,7,37,64
ANKRD27,61,40,7
ANKRD28,6,20,82
ANKRD29,36,47,25
ANKRD30A,29,48,31
ANKRD30B,42,38,28
ANKRD30BL,37,63,8
ANKRD30BP2,22,18,68
ANKRD30BP3,19,50,39
ANKRD31,4,23,81
ANKRD33,38,61,9
ANKRD33B,93,14,1
ANKRD34A,55,27,26
ANKRD34B,5,23,80
ANKRD34C,28,58,22
ANKRD34C-AS1,28,57,23
ANKRD35,55,27,26
ANKRD36,54,53,1
ANKRD36B,54,53,1
ANKRD36BP1,57,46,5
ANKRD36BP2,64,39,5
ANKRD36C,51,51,6
ANKRD37,3,36,69
ANKRD39,54,53,1
ANKRD40,49,53,6
ANKRD42,28,59,21
ANKRD44,36,61,11
ANKRD44-IT1,35,62,11
ANKRD45,57,46,5
ANKRD46,69,35,4
ANKRD49,22,62,24
ANKRD50,4,47,57
ANKRD52,38,61,9
ANKRD53,65,40,3
ANKRD54,54,40,14
ANKRD55,8,25,75
ANKRD6,19,63,26
ANKRD60,49,47,12
ANKRD61,55,38,15
ANKRD62,33,52,23
ANKRD62P1-PARP4P3,58,38,12
ANKRD63,15,59,34
ANKRD65,37,36,35
ANKRD66,39,54,15
ANKRD7,43,54,11
ANKRD9,36,36,36
ANKS1A,34,53,21
ANKS1B,29,66,13
ANKS3,20,63,25
ANKS4B,24,62,22
ANKS6,20,34,54
ANKUB1,91,17,0
ANKZF1,20,59,29
ANLN,51,39,18
ANO1,43,55,10
ANO1-AS2,43,55,10
ANO10,5,19,84
ANO2,61,39,8
ANO3,21,57,30
ANO4,28,68,12
ANO5,21,56,31
ANO6,41,58,9
ANO7,19,62,27
ANO8,26,48,34
ANO9,25,50,33
ANOS1,5,14,89
ANP32A,23,60,25
ANP32A-IT1,23,61,24
ANP32AP1,18,58,32
ANP32B,19,34,55
ANP32C,3,38,67
ANP32D,41,60,7
ANP32E,59,45,4
ANPEP,31,59,18
ANTXR1,65,42,1
ANTXR2,14,42,52
ANTXRL,20,48,40
ANTXRLP1,20,48,40
ANXA1,19,36,53
ANXA10,4,38,66
ANXA11,12,49,47
ANXA13,77,27,4
ANXA2,21,62,25
ANXA2P1,3,41,64
ANXA2P2,30,23,55
ANXA2P3,9,55,44
ANXA2R,89,19,0
ANXA3,14,45,49
ANXA4,65,42,1
ANXA5,5,47,56
ANXA6,5,29,74
ANXA7,12,51,45
ANXA8,18,49,41
ANXA8L1,20,48,40
ANXA9,60,45,3
AOAH,51,39,18
AOAH-IT1,51,39,18
AOC1,35,56,17
AOC2,43,52,13
AOC3,43,52,13
AOC4P,43,52,13
AOX1,37,61,10
AOX3P-AOX2P,37,61,10
AP1AR,3,47,58
AP1B1,54,42,12
AP1B1P1,54,41,13
AP1G1,27,48,33
AP1G2,31,42,35
AP1M1,24,48,36
AP1M2,19,50,39
AP1S1,51,50,7
AP1S2,4,15,89
AP1S3,17,60,31
AP2A1,36,47,25
AP2A2,17,51,40
AP2B1,41,50,17
AP2M1,98,9,1
AP2S1,36,45,27
AP3B1,4,22,82
AP3B2,28,58,22
AP3D1,23,50,35
AP3M1,12,51,45
AP3M2,53,36,19
AP3S1,6,28,74
AP3S2,31,59,18
AP4B1,5,44,59
AP4B1-AS1,5,44,59
AP4E1,20,58,30
AP4M1,52,51,5
AP4S1,33,39,36
AP5B1,33,63,12
AP5M1,30,44,34
AP5S1,52,49,7
AP5Z1,56,38,14
APAF1,28,68,12
APBA1,18,36,54
APBA2,21,56,31
APBA3,15,53,40
APBB1,15,54,39
APBB1IP,30,48,30
APBB2,8,34,66
APBB3,7,30,71
APC,4,28,76
APC2,27,50,31
APCDD1,30,53,25
APCDD1L,49,47,12
APCDD1L-AS1,50,46,12
APCS,58,47,3
APEH,4,15,89
APELA,4,37,67
APEX1,37,41,30
APEX2,4,16,88
APH1A,59,45,4
APH1B,22,62,24
API5,21,62,25
APIP,25,57,26
APITD1-CORT,11,53,44
APLF,66,41,1
APLN,8,16,84
APLNR,33,67,8
APLP1,60,40,8
APLP2,20,57,31
APMAP,55,42,11
APOA1,22,56,30
APOA1-AS,22,56,30
APOA2,59,45,4
APOA4,22,56,30
APOA5,22,56,30
APOB,65,41,2
APOBEC1,59,43,6
APOBEC2,39,52,17
APOBEC3A,56,39,13
APOBEC3A_B,56,39,13
APOBEC3B,56,39,13
APOBEC3B-AS1,56,39,13
APOBEC3C,55,40,13
APOBEC3D,55,40,13
APOBEC3F,55,40,13
APOBEC3G,49,46,13
APOBEC3H,49,46,13
APOBEC4,57,44,7
APOBR,29,60,19
APOC1,42,46,20
APOC1P1,42,46,20
APOC2,42,46,20
APOC3,22,56,30
APOC4,42,46,20
APOC4-APOC2,42,46,20
APOD,97,11,0
APOE,42,46,20
APOF,38,61,9
APOH,55,48,5
APOL1,52,42,14
APOL2,52,42,14
APOL3,52,42,14
APOL4,52,42,14
APOL5,52,42,14
APOL6,53,41,14
APOLD1,60,42,6
APOM,32,53,23
APOO,4,14,90
APOOL,5,18,85
APOOP5,20,53,35
APOPT1,34,40,34
APP,9,55,44
APPBP2,52,49,7
APPL1,2,15,91
APPL2,30,66,12
APRT,29,32,47
APTR,48,52,8
APTX,28,24,56
AQP1,52,39,17
AQP10,58,47,3
AQP11,31,58,19
AQP12A,23,59,26
AQP12B,23,58,27
AQP2,40,60,8
AQP3,30,25,53
AQP4,36,47,25
AQP4-AS1,36,47,25
AQP5,40,60,8
AQP6,40,60,8
AQP7,30,25,53
AQP7P1,27,13,68
AQP7P3,27,13,68
AQP8,29,57,22
AQP9,20,60,28
AQR,19,58,31
AR,6,17,85
ARAF,3,17,88
ARAP1,36,58,14
ARAP2,9,36,63
ARAP3,7,30,71
ARC,72,31,5
ARCN1,21,57,30
AREG,18,43,47
AREL1,31,43,34
ARF1,51,46,11
ARF3,41,59,8
ARF4,3,14,91
ARF4-AS1,3,14,91
ARF5,39,52,17
ARF6,37,40,31
ARFGAP1,61,34,13
ARFGAP2,23,62,23
ARFGAP3,47,45,16
ARFGEF1,57,38,13
ARFGEF2,53,44,11
ARFGEF3,19,58,31
ARFIP1,3,41,64
ARFIP2,15,54,39
ARFRP1,57,39,12
ARG1,22,56,30
ARG2,25,44,39
ARGFX,67,36,5
ARGFXP2,45,46,17
ARGLU1,15,38,55
ARHGAP1,24,61,23
ARHGAP10,5,42,61
ARHGAP11A,19,57,32
ARHGAP11B,21,55,32
ARHGAP12,30,48,30
ARHGAP15,35,63,10
ARHGAP17,29,59,20
ARHGAP18,19,59,30
ARHGAP19,7,53,48
ARHGAP19-SLIT1,7,53,48
ARHGAP20,21,58,29
ARHGAP21,29,46,33
ARHGAP22,18,50,40
ARHGAP23,43,50,15
ARHGAP24,10,45,53
ARHGAP25,65,42,1
ARHGAP26,7,29,72
ARHGAP26-AS1,7,29,72
ARHGAP26-IT1,7,29,72
ARHGAP27,46,53,9
ARHGAP28,34,53,21
ARHGAP29,4,56,48
ARHGAP30,59,45,4
ARHGAP31,66,35,7
ARHGAP31-AS1,66,35,7
ARHGAP32,23,56,29
ARHGAP33,60,40,8
ARHGAP35,36,45,27
ARHGAP36,8,16,84
ARHGAP39,71,28,9
ARHGAP4,9,16,83
ARHGAP40,53,45,10
ARHGAP42,21,61,26
ARHGAP44,15,28,65
ARHGAP45,31,48,29
ARHGAP5,31,42,35
ARHGAP5-AS1,31,42,35
ARHGAP6,5,15,88
ARHGAP8,50,40,18
ARHGAP9,40,59,9
ARHGDIA,68,31,9
ARHGDIB,60,43,5
ARHGDIG,40,50,18
ARHGEF1,44,43,21
ARHGEF10,12,24,72
ARHGEF10L,12,55,41
ARHGEF11,58,45,5
ARHGEF12,21,58,29
ARHGEF15,12,30,66
ARHGEF16,20,54,34
ARHGEF17,37,57,14
ARHGEF18,18,50,40
ARHGEF19,12,54,42
ARHGEF2,58,47,3
ARHGEF25,40,59,9
ARHGEF26,93,15,0
ARHGEF26-AS1,93,15,0
ARHGEF28,7,22,79
ARHGEF3,2,15,91
ARHGEF3-AS1,2,15,91
ARHGEF33,67,40,1
ARHGEF34P,38,57,13
ARHGEF35,38,57,13
